id,employee_id,email,password_hash,is_active,role_id,created_at,updated_at,created_by,updated_by
f5cac8de-bb51-4f55-8568-2d08d6cdb3c8,3427,uriah.bridges@bilearner.com,$2a$10$8.UnVuG9HHgffUDAlk8qfOuVGkqRzgVymGe07xd0P1R6sKz19lZ2O,True,4,2026-08-17 22:24:22,2026-08-17 22:24:22,SYSTEM_ETL,SYSTEM_ETL
23ebf202-ad02-49ad-ba94-915ba91327ce,3428,paula.small@bilearner.com,$2a$10$8.UnVuG9HHgffUDAlk8qfOuVGkqRzgVymGe07xd0P1R6sKz19lZ2O,True,4,2026-08-17 22:24:22,2026-08-17 22:24:22,SYSTEM_ETL,SYSTEM_ETL
b6adb6e6-e8e0-44f3-a28b-2508cb93ed04,3429,edward.buck@bilearner.com,$2a$10$8.UnVuG9HHgffUDAlk8qfOuVGkqRzgVymGe07xd0P1R6sKz19lZ2O,True,3,2026-08-17 22:24:22,2026-08-17 22:24:22,SYSTEM_ETL,SYSTEM_ETL
d5d6627c-2b12-4d60-a659-1e8ff8cd2306,3430,michael.riordan@bilearner.com,$2a$10$8.UnVuG9HHgffUDAlk8qfOuVGkqRzgVymGe07xd0P1R6sKz19lZ2O,True,3,2026-08-17 22:24:22,2026-08-17 22:24:22,SYSTEM_ETL,SYSTEM_ETL
24525cfb-a1b2-40c0-b15f-cc2303b84bae,3431,jasmine.onque@bilearner.com,$2a$10$8.UnVuG9HHgffUDAlk8qfOuVGkqRzgVymGe07xd0P1R6sKz19lZ2O,True,3,2026-08-17 22:24:22,2026-08-17 22:24:22,SYSTEM_ETL,SYSTEM_ETL
02359ae2-8b7e-44cf-8d7a-f00bd953e4d6,3432,maruk.fraval@bilearner.com,$2a$10$8.UnVuG9HHgffUDAlk8qfOuVGkqRzgVymGe07xd0P1R6sKz19lZ2O,True,3,2026-08-17 22:24:22,2026-08-17 22:24:22,SYSTEM_ETL,SYSTEM_ETL
c128feaf-f315-4197-9058-c6df404aacb2,3433,latia.costa@bilearner.com,$2a$10$8.UnVuG9HHgffUDAlk8qfOuVGkqRzgVymGe07xd0P1R6sKz19lZ2O,False,3,2026-08-17 22:24:22,2026-08-17 22:24:22,SYSTEM_ETL,SYSTEM_ETL
f9ce836e-f8e8-4a90-a95b-00248e37a464,3434,sharlene.terry@bilearner.com,$2a$10$8.UnVuG9HHgffUDAlk8qfOuVGkqRzgVymGe07xd0P1R6sKz19lZ2O,False,3,2026-08-17 22:24:22,2026-08-17 22:24:22,SYSTEM_ETL,SYSTEM_ETL
914b29d3-fd6c-40ba-b03b-f7684e1232ca,3435,jac.mckinzie@bilearner.com,$2a$10$8.UnVuG9HHgffUDAlk8qfOuVGkqRzgVymGe07xd0P1R6sKz19lZ2O,True,3,2026-08-17 22:24:22,2026-08-17 22:24:22,SYSTEM_ETL,SYSTEM_ETL
aa25cecd-e672-4b1c-8cea-3fead4f4e5fc,3436,joseph.martins@bilearner.com,$2a$10$8.UnVuG9HHgffUDAlk8qfOuVGkqRzgVymGe07xd0P1R6sKz19lZ2O,False,3,2026-08-17 22:24:22,2026-08-17 22:24:22,SYSTEM_ETL,SYSTEM_ETL
b71a75ec-f2be-4093-921b-b564ec454cf3,3437,myriam.givens@bilearner.com,$2a$10$8.UnVuG9HHgffUDAlk8qfOuVGkqRzgVymGe07xd0P1R6sKz19lZ2O,True,3,2026-08-17 22:24:22,2026-08-17 22:24:22,SYSTEM_ETL,SYSTEM_ETL
44643764-b99e-4899-9b3a-1c642c57cf1a,3438,dheepa.nguyen@bilearner.com,$2a$10$8.UnVuG9HHgffUDAlk8qfOuVGkqRzgVymGe07xd0P1R6sKz19lZ2O,False,3,2026-08-17 22:24:22,2026-08-17 22:24:22,SYSTEM_ETL,SYSTEM_ETL
bf4a18af-eacf-473e-b6b5-45a4b49390a3,3439,bartholemew.khemmich@bilearner.com,$2a$10$8.UnVuG9HHgffUDAlk8qfOuVGkqRzgVymGe07xd0P1R6sKz19lZ2O,False,3,2026-08-17 22:24:22,2026-08-17 22:24:22,SYSTEM_ETL,SYSTEM_ETL
89d5533f-c36e-4b46-9635-285a45169394,3440,xana.potts@bilearner.com,$2a$10$8.UnVuG9HHgffUDAlk8qfOuVGkqRzgVymGe07xd0P1R6sKz19lZ2O,False,3,2026-08-17 22:24:22,2026-08-17 22:24:22,SYSTEM_ETL,SYSTEM_ETL
947d98f4-5618-42d4-8eec-3022d2d8613f,3441,prater.jeremy@bilearner.com,$2a$10$8.UnVuG9HHgffUDAlk8qfOuVGkqRzgVymGe07xd0P1R6sKz19lZ2O,True,3,2026-08-17 22:24:22,2026-08-17 22:24:22,SYSTEM_ETL,SYSTEM_ETL
